#{"t_start": 1772087579.0889084, "env_id": "ALE/Pacman-v5"}
r,l,t
28.0,694,7515.647313
20.0,456,7525.954615
26.0,636,7540.443835
22.0,522,7552.288981
23.0,518,7564.14949
26.0,604,7577.89715
50.0,810,7596.319644
17.0,436,7606.398452
24.0,582,7619.664365
27.0,742,7636.538086
26.0,628,7650.820885
22.0,512,7662.523735
14.0,494,7673.801238
24.0,702,7689.836089
15.0,522,7701.69614
22.0,640,7716.290516
13.0,524,7728.242073
26.0,624,7742.42862
25.0,716,7758.773581
25.0,616,7772.773432
19.0,594,7786.350892
22.0,470,7797.070031
19.0,486,7808.101895
17.0,500,7819.524255
24.0,712,7835.679587
22.0,588,7849.038455
19.0,530,7861.086369
46.0,788,7879.02266
30.0,718,7895.403404
16.0,508,7907.004323
22.0,702,7922.935372
24.0,460,7933.398268
20.0,498,7944.851468
19.0,474,7955.667058
18.0,450,7965.880109
24.0,714,7982.179012
26.0,510,7993.771961
35.0,604,8007.537747
17.0,416,8016.990624
19.0,546,8029.409302
15.0,414,8038.897492
18.0,486,8049.961261
17.0,474,8060.835071
22.0,506,8072.379466
49.0,696,8088.180067
24.0,496,8099.468052
20.0,514,8111.137994
27.0,484,8122.156458
29.0,508,8133.694293
21.0,458,8144.131823
15.0,424,8153.787764
23.0,756,8170.978828
24.0,472,8181.727354
21.0,538,8194.038511
21.0,498,8205.373525
24.0,588,8218.804861
23.0,540,8231.08519
17.0,480,8241.975844
31.0,778,8259.756481
24.0,586,8273.069119
24.0,480,8284.024387
33.0,796,8302.104405
32.0,772,8319.711097
28.0,784,8337.507689
24.0,770,8355.039559
24.0,590,8368.538804
25.0,602,8382.227276
28.0,740,8399.180097
33.0,804,8417.49112
21.0,522,8429.272857
24.0,532,8441.415598
28.0,768,8458.819623
30.0,754,8476.019305
25.0,586,8489.31921
23.0,534,8501.514398
33.0,768,8518.992401
27.0,714,8535.382622
28.0,734,8551.969316
21.0,614,8565.992861
36.0,696,8581.818961
32.0,850,8601.193111
24.0,736,8617.866246
28.0,714,8634.1559
16.0,508,8645.678464
28.0,780,8663.444422
39.0,832,8682.288021
19.0,450,8692.586621
91.0,830,8711.42854
27.0,680,8726.961128
30.0,758,8744.227127
27.0,756,8761.424394
98.0,756,8778.584756
32.0,796,8796.711654
44.0,748,8813.68233
23.0,594,8827.288892
13.0,446,8837.395855
51.0,678,8852.882264
29.0,768,8870.351597
35.0,718,8886.705348
31.0,704,8902.772454
46.0,754,8919.877486
24.0,534,8931.947134
28.0,600,8945.66699
21.0,580,8958.80447
24.0,630,8973.164393
50.0,744,8990.02339
24.0,632,9004.411038
39.0,628,9018.679806
47.0,26996,9645.726265
38.0,808,9664.061088
28.0,742,9680.99096
19.0,688,9696.682255
24.0,702,9712.61404
42.0,714,9728.819387
23.0,466,9739.397992
35.0,534,9751.680289
19.0,460,9762.16116
46.0,774,9779.696256
45.0,722,9796.069405
13.0,492,9807.257624
35.0,800,9825.490748
31.0,706,9841.553371
42.0,836,9860.616271
34.0,660,9875.611253
29.0,26996,10489.161434
12.0,404,10498.382277
16.0,498,10509.789942
15.0,482,10520.74146
12.0,388,10529.633387
11.0,398,10538.618447
8.0,458,10549.064772
10.0,430,10558.946513
26.0,499,10570.327786
17.0,468,10580.941749
17.0,476,10591.756613
24.0,850,10611.082582
24.0,650,10625.891869
47.0,752,10642.96963
25.0,806,10661.274949
11.0,426,10670.970772
26.0,844,10690.179802
14.0,436,10700.194264
40.0,26996,11315.377301
44.0,754,11332.445817
34.0,696,11348.309915
31.0,768,11365.767997
144.0,26996,11979.835516
12.0,438,11989.810376
16.0,530,12001.883134
21.0,710,12018.007552
21.0,646,12032.696263
48.0,758,12049.930978
17.0,454,12060.319811
26.0,652,12075.164232
29.0,716,12091.396971
23.0,674,12106.677218
52.0,594,12120.101577
49.0,764,12137.632384
22.0,666,12152.78159
24.0,632,12167.103912
29.0,862,12186.708994
26.0,730,12203.27418
21.0,584,12216.586543
25.0,768,12234.038284
31.0,738,12250.805711
18.0,766,12268.289473
23.0,736,12285.210583
22.0,938,12306.500201
26.0,782,12324.384198
34.0,728,12341.006829
36.0,16192,12709.054966
14.0,410,12718.450682
37.0,652,12733.226256
140.0,814,12751.734052
7.0,444,12761.816287
21.0,708,12777.913184
18.0,550,12790.444885
24.0,608,12804.242929
17.0,464,12814.882782
32.0,714,12831.086766
29.0,636,12845.605087
32.0,628,12859.856664
49.0,662,12875.025366
31.0,724,12891.352098
23.0,520,12903.157968
19.0,528,12915.101287
27.0,710,12931.400395
52.0,804,12949.709525
30.0,750,12966.764309
31.0,696,12982.512173
14.0,464,12993.117795
12.0,474,13003.866468
23.0,487,13014.930797
16.0,504,13026.413767
23.0,540,13038.753255
21.0,564,13051.538544
19.0,562,13064.335638
20.0,518,13076.104204
29.0,772,13093.727782
20.0,502,13105.117648
36.0,870,13124.976809
18.0,602,13138.680651
18.0,512,13150.366208
30.0,596,13163.89805
35.0,750,13180.929081
20.0,504,13192.382307
31.0,682,13207.898424
33.0,698,13223.819376
29.0,694,13239.5709
44.0,780,13257.315584
30.0,806,13275.679323
23.0,581,13288.851127
16.0,458,13299.249014
171.0,716,13315.477086
32.0,688,13331.13939
18.0,454,13341.445025
17.0,470,13352.185851
32.0,752,13369.272916
28.0,564,13382.085119
42.0,1018,13405.148641
